TH1.Print Name  = h1DSSD1e, Entries= 3456932, Total sum= 3.45693e+006
 fSumw[255]=103, x=101.8, error=10.1489
 fSumw[256]=121, x=102.2, error=11
 fSumw[257]=113, x=102.6, error=10.6301
 fSumw[258]=109, x=103, error=10.4403
 fSumw[259]=117, x=103.4, error=10.8167
 fSumw[260]=125, x=103.8, error=11.1803
 fSumw[261]=106, x=104.2, error=10.2956
 fSumw[262]=112, x=104.6, error=10.583
 fSumw[263]=127, x=105, error=11.2694
 fSumw[264]=105, x=105.4, error=10.247
 fSumw[265]=131, x=105.8, error=11.4455
 fSumw[266]=130, x=106.2, error=11.4018
 fSumw[267]=113, x=106.6, error=10.6301
 fSumw[268]=108, x=107, error=10.3923
 fSumw[269]=117, x=107.4, error=10.8167
 fSumw[270]=111, x=107.8, error=10.5357
 fSumw[271]=111, x=108.2, error=10.5357
 fSumw[272]=122, x=108.6, error=11.0454
 fSumw[273]=106, x=109, error=10.2956
 fSumw[274]=134, x=109.4, error=11.5758
 fSumw[275]=107, x=109.8, error=10.3441
 fSumw[276]=111, x=110.2, error=10.5357
 fSumw[277]=125, x=110.6, error=11.1803
 fSumw[278]=115, x=111, error=10.7238
 fSumw[279]=111, x=111.4, error=10.5357
 fSumw[280]=123, x=111.8, error=11.0905
 fSumw[281]=122, x=112.2, error=11.0454
 fSumw[282]=109, x=112.6, error=10.4403
 fSumw[283]=127, x=113, error=11.2694
 fSumw[284]=130, x=113.4, error=11.4018
 fSumw[285]=127, x=113.8, error=11.2694
 fSumw[286]=128, x=114.2, error=11.3137
 fSumw[287]=113, x=114.6, error=10.6301
 fSumw[288]=125, x=115, error=11.1803
 fSumw[289]=124, x=115.4, error=11.1355
 fSumw[290]=124, x=115.8, error=11.1355
 fSumw[291]=128, x=116.2, error=11.3137
 fSumw[292]=119, x=116.6, error=10.9087
 fSumw[293]=110, x=117, error=10.4881
 fSumw[294]=103, x=117.4, error=10.1489
 fSumw[295]=108, x=117.8, error=10.3923
 fSumw[296]=119, x=118.2, error=10.9087
 fSumw[297]=110, x=118.6, error=10.4881
 fSumw[298]=116, x=119, error=10.7703
 fSumw[299]=113, x=119.4, error=10.6301
 fSumw[300]=113, x=119.8, error=10.6301
 fSumw[301]=128, x=120.2, error=11.3137
 fSumw[302]=109, x=120.6, error=10.4403
 fSumw[303]=112, x=121, error=10.583
 fSumw[304]=142, x=121.4, error=11.9164
 fSumw[305]=105, x=121.8, error=10.247
 fSumw[306]=117, x=122.2, error=10.8167
 fSumw[307]=96, x=122.6, error=9.79796
 fSumw[308]=99, x=123, error=9.94987
 fSumw[309]=114, x=123.4, error=10.6771
 fSumw[310]=109, x=123.8, error=10.4403
 fSumw[311]=122, x=124.2, error=11.0454
 fSumw[312]=121, x=124.6, error=11
 fSumw[313]=138, x=125, error=11.7473
 fSumw[314]=123, x=125.4, error=11.0905
 fSumw[315]=124, x=125.8, error=11.1355
 fSumw[316]=117, x=126.2, error=10.8167
 fSumw[317]=118, x=126.6, error=10.8628
 fSumw[318]=105, x=127, error=10.247
 fSumw[319]=119, x=127.4, error=10.9087
 fSumw[320]=113, x=127.8, error=10.6301
 fSumw[321]=112, x=128.2, error=10.583
 fSumw[322]=117, x=128.6, error=10.8167
 fSumw[323]=118, x=129, error=10.8628
 fSumw[324]=117, x=129.4, error=10.8167
 fSumw[325]=121, x=129.8, error=11
 fSumw[326]=135, x=130.2, error=11.619
 fSumw[327]=105, x=130.6, error=10.247
 fSumw[328]=119, x=131, error=10.9087
 fSumw[329]=125, x=131.4, error=11.1803
 fSumw[330]=115, x=131.8, error=10.7238
 fSumw[331]=99, x=132.2, error=9.94987
 fSumw[332]=110, x=132.6, error=10.4881
 fSumw[333]=121, x=133, error=11
 fSumw[334]=104, x=133.4, error=10.198
 fSumw[335]=113, x=133.8, error=10.6301
 fSumw[336]=99, x=134.2, error=9.94987
 fSumw[337]=135, x=134.6, error=11.619
 fSumw[338]=122, x=135, error=11.0454
 fSumw[339]=104, x=135.4, error=10.198
 fSumw[340]=124, x=135.8, error=11.1355
 fSumw[341]=116, x=136.2, error=10.7703
 fSumw[342]=130, x=136.6, error=11.4018
 fSumw[343]=111, x=137, error=10.5357
 fSumw[344]=131, x=137.4, error=11.4455
 fSumw[345]=117, x=137.8, error=10.8167
 fSumw[346]=117, x=138.2, error=10.8167
 fSumw[347]=109, x=138.6, error=10.4403
 fSumw[348]=116, x=139, error=10.7703
 fSumw[349]=128, x=139.4, error=11.3137
 fSumw[350]=118, x=139.8, error=10.8628
 fSumw[351]=122, x=140.2, error=11.0454
 fSumw[352]=115, x=140.6, error=10.7238
 fSumw[353]=107, x=141, error=10.3441
 fSumw[354]=104, x=141.4, error=10.198
 fSumw[355]=121, x=141.8, error=11
 fSumw[356]=108, x=142.2, error=10.3923
 fSumw[357]=109, x=142.6, error=10.4403
 fSumw[358]=99, x=143, error=9.94987
 fSumw[359]=97, x=143.4, error=9.84886
 fSumw[360]=110, x=143.8, error=10.4881
 fSumw[361]=125, x=144.2, error=11.1803
 fSumw[362]=133, x=144.6, error=11.5326
 fSumw[363]=131, x=145, error=11.4455
 fSumw[364]=103, x=145.4, error=10.1489
 fSumw[365]=111, x=145.8, error=10.5357
 fSumw[366]=123, x=146.2, error=11.0905
 fSumw[367]=133, x=146.6, error=11.5326
 fSumw[368]=131, x=147, error=11.4455
 fSumw[369]=118, x=147.4, error=10.8628
 fSumw[370]=120, x=147.8, error=10.9545
 fSumw[371]=133, x=148.2, error=11.5326
 fSumw[372]=122, x=148.6, error=11.0454
 fSumw[373]=128, x=149, error=11.3137
 fSumw[374]=115, x=149.4, error=10.7238
 fSumw[375]=112, x=149.8, error=10.583
 fSumw[376]=115, x=150.2, error=10.7238
 fSumw[377]=135, x=150.6, error=11.619
 fSumw[378]=110, x=151, error=10.4881
 fSumw[379]=109, x=151.4, error=10.4403
 fSumw[380]=118, x=151.8, error=10.8628
 fSumw[381]=120, x=152.2, error=10.9545
 fSumw[382]=117, x=152.6, error=10.8167
 fSumw[383]=120, x=153, error=10.9545
 fSumw[384]=113, x=153.4, error=10.6301
 fSumw[385]=121, x=153.8, error=11
 fSumw[386]=108, x=154.2, error=10.3923
 fSumw[387]=126, x=154.6, error=11.225
